央视频道,#genre#
CCTV1,http://111.178.106.107:9999/rtp/239.254.96.96:8550#http://119.98.88.186:4022/rtp/239.254.96.96:8550#http://171.41.254.81:8888/rtp/239.254.96.96:8550#http://27.25.77.223:4000/rtp/239.254.96.96:8550
CCTV2,http://111.178.106.107:9999/rtp/239.69.1.102:10250#http://119.98.88.186:4022/rtp/239.69.1.102:10250#http://171.41.254.81:8888/rtp/239.69.1.102:10250#http://27.25.77.223:4000/rtp/239.69.1.102:10250
CCTV3,http://111.178.106.107:9999/rtp/239.69.1.122:10370#http://119.98.88.186:4022/rtp/239.69.1.122:10370#http://171.41.254.81:8888/rtp/239.69.1.122:10370#http://27.25.77.223:4000/rtp/239.69.1.122:10370
CCTV4,http://111.178.106.107:9999/rtp/239.69.1.138:10466#http://119.98.88.186:4022/rtp/239.69.1.138:10466#http://171.41.254.81:8888/rtp/239.69.1.138:10466#http://27.25.77.223:4000/rtp/239.69.1.138:10466
CCTV5+,http://111.178.106.107:9999/rtp/239.254.96.234:9484#http://111.178.106.107:9999/rtp/239.69.1.12:9712#http://119.98.88.186:4022/rtp/239.254.96.234:9484#http://119.98.88.186:4022/rtp/239.69.1.12:9712#http://171.41.254.81:8888/rtp/239.254.96.234:9484#http://171.41.254.81:8888/rtp/239.69.1.12:9712#http://27.25.77.223:4000/rtp/239.254.96.234:9484#http://27.25.77.223:4000/rtp/239.69.1.12:9712
CCTV5,http://111.178.106.107:9999/rtp/239.69.1.123:10376#http://119.98.88.186:4022/rtp/239.69.1.123:10376#http://171.41.254.81:8888/rtp/239.69.1.123:10376#http://27.25.77.223:4000/rtp/239.69.1.123:10376
CCTV6,http://111.178.106.107:9999/rtp/239.69.1.124:10382#http://119.98.88.186:4022/rtp/239.69.1.124:10382#http://171.41.254.81:8888/rtp/239.69.1.124:10382#http://27.25.77.223:4000/rtp/239.69.1.124:10382
CCTV7,http://111.178.106.107:9999/rtp/239.69.1.103:10256#http://119.98.88.186:4022/rtp/239.69.1.103:10256#http://171.41.254.81:8888/rtp/239.69.1.103:10256#http://27.25.77.223:4000/rtp/239.69.1.103:10256
CCTV8,http://111.178.106.107:9999/rtp/239.69.1.125:10388#http://119.98.88.186:4022/rtp/239.69.1.125:10388#http://171.41.254.81:8888/rtp/239.69.1.125:10388#http://27.25.77.223:4000/rtp/239.69.1.125:10388
CCTV9,http://111.178.106.107:9999/rtp/239.69.1.104:10262#http://119.98.88.186:4022/rtp/239.69.1.104:10262#http://171.41.254.81:8888/rtp/239.69.1.104:10262#http://27.25.77.223:4000/rtp/239.69.1.104:10262
CCTV10,http://111.178.106.107:9999/rtp/239.69.1.105:10268#http://119.98.88.186:4022/rtp/239.69.1.105:10268#http://171.41.254.81:8888/rtp/239.69.1.105:10268#http://27.25.77.223:4000/rtp/239.69.1.105:10268
CCTV11,http://111.178.106.107:9999/rtp/239.69.1.154:10560#http://119.98.88.186:4022/rtp/239.69.1.154:10560#http://171.41.254.81:8888/rtp/239.69.1.154:10560#http://27.25.77.223:4000/rtp/239.69.1.154:10560
CCTV12,http://111.178.106.107:9999/rtp/239.69.1.106:10274#http://119.98.88.186:4022/rtp/239.69.1.106:10274#http://171.41.254.81:8888/rtp/239.69.1.106:10274#http://27.25.77.223:4000/rtp/239.69.1.106:10274
CCTV13,http://111.178.106.107:9999/rtp/239.254.96.161:9040#http://119.98.88.186:4022/rtp/239.254.96.161:9040#http://171.41.254.81:8888/rtp/239.254.96.161:9040#http://27.25.77.223:4000/rtp/239.254.96.161:9040
CCTV14,http://111.178.106.107:9999/rtp/239.69.1.107:10280#http://119.98.88.186:4022/rtp/239.69.1.107:10280#http://171.41.254.81:8888/rtp/239.69.1.107:10280#http://27.25.77.223:4000/rtp/239.69.1.107:10280
CCTV15,http://111.178.106.107:9999/rtp/239.69.1.155:10566#http://119.98.88.186:4022/rtp/239.69.1.155:10566#http://171.41.254.81:8888/rtp/239.69.1.155:10566#http://27.25.77.223:4000/rtp/239.69.1.155:10566
CCTV16,http://111.178.106.107:9999/rtp/239.69.1.247:11124#http://119.98.88.186:4022/rtp/239.69.1.247:11124#http://171.41.254.81:8888/rtp/239.69.1.247:11124#http://27.25.77.223:4000/rtp/239.69.1.247:11124
CCTV16-4K,http://111.178.106.107:9999/rtp/239.69.1.13:9718#http://119.98.88.186:4022/rtp/239.69.1.13:9718#http://171.41.254.81:8888/rtp/239.69.1.13:9718#http://27.25.77.223:4000/rtp/239.69.1.13:9718
CCTV16奥林匹克-4K,http://111.178.106.107:9999/rtp/239.69.1.249:11136#http://119.98.88.186:4022/rtp/239.69.1.249:11136#http://171.41.254.81:8888/rtp/239.69.1.249:11136#http://27.25.77.223:4000/rtp/239.69.1.249:11136
CCTV17,http://111.178.106.107:9999/rtp/239.69.1.152:10548#http://119.98.88.186:4022/rtp/239.69.1.152:10548#http://171.41.254.81:8888/rtp/239.69.1.152:10548#http://27.25.77.223:4000/rtp/239.69.1.152:10548
CCTV世界地理,http://111.178.106.107:9999/rtp/239.69.1.91:10186#http://119.98.88.186:4022/rtp/239.69.1.91:10186#http://171.41.254.81:8888/rtp/239.69.1.91:10186#http://27.25.77.223:4000/rtp/239.69.1.91:10186
CCTV兵器科技,http://111.178.106.107:9999/rtp/239.69.1.79:10114#http://119.98.88.186:4022/rtp/239.69.1.79:10114#http://171.41.254.81:8888/rtp/239.69.1.79:10114#http://27.25.77.223:4000/rtp/239.69.1.79:10114
CCTV央视台球,http://111.178.106.107:9999/rtp/239.69.1.98:10224#http://119.98.88.186:4022/rtp/239.69.1.98:10224#http://171.41.254.81:8888/rtp/239.69.1.98:10224#http://27.25.77.223:4000/rtp/239.69.1.98:10224
CCTV第一剧场,http://111.178.106.107:9999/rtp/239.69.1.74:10084#http://119.98.88.186:4022/rtp/239.69.1.74:10084#http://171.41.254.81:8888/rtp/239.69.1.74:10084#http://27.25.77.223:4000/rtp/239.69.1.74:10084
CCTV风云足球,http://111.178.106.107:9999/rtp/239.69.1.81:10126#http://119.98.88.186:4022/rtp/239.69.1.81:10126#http://171.41.254.81:8888/rtp/239.69.1.81:10126#http://27.25.77.223:4000/rtp/239.69.1.81:10126
CCTV高尔夫网球,http://111.178.106.107:9999/rtp/239.69.1.83:10138#http://119.98.88.186:4022/rtp/239.69.1.83:10138#http://171.41.254.81:8888/rtp/239.69.1.83:10138#http://27.25.77.223:4000/rtp/239.69.1.83:10138

卫视频道,#genre#
东南卫视,http://111.178.106.107:9999/rtp/239.69.1.108:10286#http://119.98.88.186:4022/rtp/239.69.1.108:10286#http://171.41.254.81:8888/rtp/239.69.1.108:10286#http://27.25.77.223:4000/rtp/239.69.1.108:10286
东方卫视,http://111.178.106.107:9999/rtp/239.254.96.142:8926#http://111.178.106.107:9999/rtp/239.69.1.173:10674#http://119.98.88.186:4022/rtp/239.254.96.142:8926#http://119.98.88.186:4022/rtp/239.69.1.173:10674#http://171.41.254.81:8888/rtp/239.254.96.142:8926#http://171.41.254.81:8888/rtp/239.69.1.173:10674#http://27.25.77.223:4000/rtp/239.254.96.142:8926#http://27.25.77.223:4000/rtp/239.69.1.173:10674
北京卫视,http://111.178.106.107:9999/rtp/239.254.96.141:8920#http://119.98.88.186:4022/rtp/239.254.96.141:8920#http://171.41.254.81:8888/rtp/239.254.96.141:8920#http://27.25.77.223:4000/rtp/239.254.96.141:8920
吉林卫视,http://111.178.106.107:9999/rtp/239.69.1.212:10914#http://119.98.88.186:4022/rtp/239.69.1.212:10914#http://171.41.254.81:8888/rtp/239.69.1.212:10914#http://27.25.77.223:4000/rtp/239.69.1.212:10914
四川卫视,http://111.178.106.107:9999/rtp/239.69.1.169:10650#http://119.98.88.186:4022/rtp/239.69.1.169:10650#http://171.41.254.81:8888/rtp/239.69.1.169:10650#http://27.25.77.223:4000/rtp/239.69.1.169:10650
天津卫视,http://111.178.106.107:9999/rtp/239.69.1.68:10048#http://119.98.88.186:4022/rtp/239.69.1.68:10048#http://171.41.254.81:8888/rtp/239.69.1.68:10048#http://27.25.77.223:4000/rtp/239.69.1.68:10048
安徽卫视,http://111.178.106.107:9999/rtp/239.69.1.70:10060#http://119.98.88.186:4022/rtp/239.69.1.70:10060#http://171.41.254.81:8888/rtp/239.69.1.70:10060#http://27.25.77.223:4000/rtp/239.69.1.70:10060
山东卫视,http://111.178.106.107:9999/rtp/239.69.1.69:10054#http://119.98.88.186:4022/rtp/239.69.1.69:10054#http://171.41.254.81:8888/rtp/239.69.1.69:10054#http://27.25.77.223:4000/rtp/239.69.1.69:10054
广东卫视,http://111.178.106.107:9999/rtp/239.254.96.140:8914#http://119.98.88.186:4022/rtp/239.254.96.140:8914#http://171.41.254.81:8888/rtp/239.254.96.140:8914#http://27.25.77.223:4000/rtp/239.254.96.140:8914
广西卫视,http://111.178.106.107:9999/rtp/239.69.1.191:10788#http://119.98.88.186:4022/rtp/239.69.1.191:10788#http://171.41.254.81:8888/rtp/239.69.1.191:10788#http://27.25.77.223:4000/rtp/239.69.1.191:10788
江苏卫视,http://111.178.106.107:9999/rtp/239.254.96.144:8938#http://111.178.106.107:9999/rtp/239.69.1.174:10680#http://119.98.88.186:4022/rtp/239.254.96.144:8938#http://119.98.88.186:4022/rtp/239.69.1.174:10680#http://171.41.254.81:8888/rtp/239.254.96.144:8938#http://171.41.254.81:8888/rtp/239.69.1.174:10680#http://27.25.77.223:4000/rtp/239.254.96.144:8938#http://27.25.77.223:4000/rtp/239.69.1.174:10680
江西卫视,http://111.178.106.107:9999/rtp/239.69.1.126:10394#http://119.98.88.186:4022/rtp/239.69.1.126:10394#http://171.41.254.81:8888/rtp/239.69.1.126:10394#http://27.25.77.223:4000/rtp/239.69.1.126:10394
河北卫视,http://111.178.106.107:9999/rtp/239.254.96.113:9616#http://111.178.106.107:9999/rtp/239.69.1.157:10578#http://119.98.88.186:4022/rtp/239.254.96.113:9616#http://119.98.88.186:4022/rtp/239.69.1.157:10578#http://171.41.254.81:8888/rtp/239.254.96.113:9616#http://171.41.254.81:8888/rtp/239.69.1.157:10578#http://27.25.77.223:4000/rtp/239.254.96.113:9616#http://27.25.77.223:4000/rtp/239.69.1.157:10578
河南卫视,http://111.178.106.107:9999/rtp/239.69.1.168:10644#http://119.98.88.186:4022/rtp/239.69.1.168:10644#http://171.41.254.81:8888/rtp/239.69.1.168:10644#http://27.25.77.223:4000/rtp/239.69.1.168:10644
浙江卫视,http://111.178.106.107:9999/rtp/239.254.96.143:8932#http://119.98.88.186:4022/rtp/239.254.96.143:8932#http://171.41.254.81:8888/rtp/239.254.96.143:8932#http://27.25.77.223:4000/rtp/239.254.96.143:8932
海南卫视,http://111.178.106.107:9999/rtp/239.69.1.151:10542#http://119.98.88.186:4022/rtp/239.69.1.151:10542#http://171.41.254.81:8888/rtp/239.69.1.151:10542#http://27.25.77.223:4000/rtp/239.69.1.151:10542
深圳卫视,http://111.178.106.107:9999/rtp/239.254.96.137:8896#http://119.98.88.186:4022/rtp/239.254.96.137:8896#http://171.41.254.81:8888/rtp/239.254.96.137:8896#http://27.25.77.223:4000/rtp/239.254.96.137:8896
湖北卫视,http://111.178.106.107:9999/rtp/239.254.96.115:8664#http://119.98.88.186:4022/rtp/239.254.96.115:8664#http://171.41.254.81:8888/rtp/239.254.96.115:8664#http://27.25.77.223:4000/rtp/239.254.96.115:8664
湖南卫视,http://111.178.106.107:9999/rtp/239.254.96.139:8908#http://119.98.88.186:4022/rtp/239.254.96.139:8908#http://171.41.254.81:8888/rtp/239.254.96.139:8908#http://27.25.77.223:4000/rtp/239.254.96.139:8908
贵州卫视,http://111.178.106.107:9999/rtp/239.69.1.150:10536#http://119.98.88.186:4022/rtp/239.69.1.150:10536#http://171.41.254.81:8888/rtp/239.69.1.150:10536#http://27.25.77.223:4000/rtp/239.69.1.150:10536
辽宁卫视,http://111.178.106.107:9999/rtp/239.69.1.71:10066#http://119.98.88.186:4022/rtp/239.69.1.71:10066#http://171.41.254.81:8888/rtp/239.69.1.71:10066#http://27.25.77.223:4000/rtp/239.69.1.71:10066
重庆卫视,http://111.178.106.107:9999/rtp/239.69.1.149:10530#http://119.98.88.186:4022/rtp/239.69.1.149:10530#http://171.41.254.81:8888/rtp/239.69.1.149:10530#http://27.25.77.223:4000/rtp/239.69.1.149:10530
黑龙江卫视,http://111.178.106.107:9999/rtp/239.254.96.138:8902#http://119.98.88.186:4022/rtp/239.254.96.138:8902#http://171.41.254.81:8888/rtp/239.254.96.138:8902#http://27.25.77.223:4000/rtp/239.254.96.138:8902

其他频道,#genre#
CETV1,http://111.178.106.107:9999/rtp/239.69.1.110:10298#http://119.98.88.186:4022/rtp/239.69.1.110:10298#http://171.41.254.81:8888/rtp/239.69.1.110:10298#http://27.25.77.223:4000/rtp/239.69.1.110:10298
爱上4K,http://111.178.106.107:9999/rtp/239.69.1.141:10482#http://119.98.88.186:4022/rtp/239.69.1.141:10482#http://171.41.254.81:8888/rtp/239.69.1.141:10482#http://27.25.77.223:4000/rtp/239.69.1.141:10482
